Internships,English_Level,Status
0,1,UNEMPLOYED
3,1,HIRED
1,1,HIRED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
2,1,HIRED
2,1,HIRED
0,0,UNEMPLOYED
0,1,UNEMPLOYED
1,0,UNEMPLOYED
3,0,HIRED
1,0,UNEMPLOYED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
0,1,UNEMPLOYED
0,0,UNEMPLOYED
3,0,HIRED
1,1,HIRED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
1,1,HIRED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
2,0,HIRED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
2,1,HIRED
0,1,UNEMPLOYED
1,1,HIRED
2,1,HIRED
3,0,HIRED
1,0,UNEMPLOYED
2,0,HIRED
2,0,HIRED
3,1,HIRED
0,0,UNEMPLOYED
0,1,UNEMPLOYED
1,0,UNEMPLOYED
3,1,HIRED
0,1,UNEMPLOYED
3,0,HIRED
0,0,UNEMPLOYED
2,0,HIRED
0,0,UNEMPLOYED
3,1,HIRED
2,0,HIRED
2,0,HIRED
2,1,HIRED
3,0,HIRED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
3,0,HIRED
2,1,HIRED
1,0,UNEMPLOYED
3,0,HIRED
1,0,UNEMPLOYED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
1,1,HIRED
2,0,HIRED
3,1,HIRED
2,1,HIRED
2,0,HIRED
2,0,HIRED
2,0,HIRED
2,0,HIRED
1,1,HIRED
2,0,HIRED
2,0,HIRED
3,0,HIRED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
1,1,HIRED
2,1,HIRED
2,0,HIRED
2,0,HIRED
3,0,HIRED
0,1,UNEMPLOYED
2,0,HIRED
0,1,UNEMPLOYED
3,0,HIRED
1,0,UNEMPLOYED
2,0,HIRED
0,0,UNEMPLOYED
0,1,UNEMPLOYED
2,1,HIRED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
1,1,HIRED
3,1,HIRED
0,1,UNEMPLOYED
0,1,UNEMPLOYED
0,0,UNEMPLOYED
3,1,HIRED
0,0,UNEMPLOYED
3,1,HIRED
1,1,HIRED
2,1,HIRED
0,1,UNEMPLOYED
0,1,UNEMPLOYED
1,0,UNEMPLOYED
2,0,HIRED
3,1,HIRED
2,1,HIRED
1,0,UNEMPLOYED
1,1,HIRED
2,1,HIRED
3,0,HIRED
3,1,HIRED
0,1,UNEMPLOYED
3,0,HIRED
2,0,HIRED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
3,0,HIRED
1,0,UNEMPLOYED
3,0,HIRED
1,0,UNEMPLOYED
2,1,HIRED
3,1,HIRED
2,0,HIRED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
0,1,UNEMPLOYED
0,1,UNEMPLOYED
0,1,UNEMPLOYED
1,1,HIRED
0,1,UNEMPLOYED
1,1,HIRED
1,1,HIRED
2,1,HIRED
3,0,HIRED
3,0,HIRED
1,0,UNEMPLOYED
2,0,HIRED
1,1,HIRED
1,1,HIRED
1,0,UNEMPLOYED
2,1,HIRED
3,0,HIRED
2,1,HIRED
0,0,UNEMPLOYED
2,1,HIRED
2,1,HIRED
2,0,HIRED
2,1,HIRED
3,0,HIRED
0,0,UNEMPLOYED
3,0,HIRED
3,0,HIRED
2,1,HIRED
1,1,HIRED
1,1,HIRED
3,0,HIRED
3,1,HIRED
2,0,HIRED
3,1,HIRED
2,1,HIRED
1,1,HIRED
1,0,UNEMPLOYED
0,1,UNEMPLOYED
1,1,HIRED
3,0,HIRED
1,1,HIRED
2,0,HIRED
1,1,HIRED
0,0,UNEMPLOYED
1,0,UNEMPLOYED
2,1,HIRED
2,0,HIRED
3,0,HIRED
1,0,UNEMPLOYED
2,0,HIRED
0,0,UNEMPLOYED
3,0,HIRED
0,1,UNEMPLOYED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
1,1,HIRED
3,1,HIRED
2,1,HIRED
3,1,HIRED
0,1,UNEMPLOYED
3,1,HIRED
0,1,UNEMPLOYED
3,0,HIRED
2,0,HIRED
0,1,UNEMPLOYED
1,0,UNEMPLOYED
1,0,UNEMPLOYED
