dim,bits,algo,param,runtime,final_norm
35,34,LLL,0.75,0.003621816635131836,35639064316.22919
35,34,LLL,0.9,0.004009246826171875,30350516741.823956
35,34,LLL,0.99,0.0039038658142089844,30350516741.823956
35,34,BKZ,2.0,0.005323648452758789,30350516741.823956
35,34,BKZ,10.0,0.016469478607177734,27894644660.953842
35,34,BKZ,20.0,0.012245655059814453,27894644660.953842
30,25,LLL,0.75,0.0016391277313232422,50523199.984679185
30,25,LLL,0.9,0.001955747604370117,50523199.984679185
30,25,LLL,0.99,0.0022330284118652344,49561718.14639223
30,25,BKZ,2.0,0.003470897674560547,49561718.14639223
30,25,BKZ,10.0,0.011801719665527344,49561718.14639223
30,25,BKZ,20.0,0.013660430908203125,49561718.14639223
40,35,LLL,0.75,0.004563808441162109,65360645135.267624
40,35,LLL,0.9,0.004700660705566406,65360645135.267624
40,35,LLL,0.99,0.006376028060913086,65360645135.267624
40,35,BKZ,2.0,0.006942033767700195,65360645135.267624
40,35,BKZ,10.0,0.020940303802490234,62966340761.14297
40,35,BKZ,20.0,0.024662017822265625,62966340761.14297
55,35,LLL,0.75,0.01167917251586914,97671521554.61319
55,35,LLL,0.9,0.011781692504882812,88377269914.81422
55,35,LLL,0.99,0.012686967849731445,79201716762.5934
55,35,BKZ,2.0,0.016608476638793945,79201716762.5934
55,35,BKZ,10.0,0.028470993041992188,79201716762.5934
55,35,BKZ,20.0,0.04149484634399414,79201716762.5934
55,33,LLL,0.75,0.011566400527954102,23247555271.927353
55,33,LLL,0.9,0.011485815048217773,20611976171.547466
55,33,LLL,0.99,0.012336969375610352,20428615592.738155
55,33,BKZ,2.0,0.016950368881225586,20428615592.738155
55,33,BKZ,10.0,0.04455900192260742,19518982233.861683
55,33,BKZ,20.0,0.04485750198364258,19518982233.861683
35,31,LLL,0.75,0.003732919692993164,4001446769.222083
35,31,LLL,0.9,0.004381895065307617,3353211140.453047
35,31,LLL,0.99,0.005362033843994141,3565922684.1379366
35,31,BKZ,2.0,0.009389400482177734,3565922684.1379366
35,31,BKZ,10.0,0.015973329544067383,3082571718.452881
35,31,BKZ,20.0,0.03399157524108887,3057340681.716582
60,37,LLL,0.75,0.013353347778320312,432016200652.5929
60,37,LLL,0.9,0.014729022979736328,366062086325.39276
60,37,LLL,0.99,0.015368461608886719,338972521396.57074
60,37,BKZ,2.0,0.02231121063232422,338972521396.57074
60,37,BKZ,10.0,0.043836355209350586,319464681612.0149
60,37,BKZ,20.0,0.04487943649291992,314343642247.43604
60,25,LLL,0.75,0.013437032699584961,107607551.67187467
60,25,LLL,0.9,0.015365839004516602,78615422.4376702
60,25,LLL,0.99,0.019565105438232422,78615422.4376702
60,25,BKZ,2.0,0.029836416244506836,78615422.4376702
60,25,BKZ,10.0,0.052573204040527344,73444705.45513317
60,25,BKZ,20.0,0.06866049766540527,73444705.45513317
50,22,LLL,0.75,0.013440370559692383,11429139.723891295
50,22,LLL,0.9,0.010050296783447266,8925124.858317446
50,22,LLL,0.99,0.012543678283691406,9773970.28707086
50,22,BKZ,2.0,0.018177509307861328,9773970.28707086
50,22,BKZ,10.0,0.08008480072021484,8925124.858317446
50,22,BKZ,20.0,0.051264286041259766,8925124.858317446
35,35,LLL,0.75,0.00620722770690918,74352467627.13026
35,35,LLL,0.9,0.006962776184082031,74352467627.13026
35,35,LLL,0.99,0.008168935775756836,47528625825.121765
35,35,BKZ,2.0,0.009443283081054688,47528625825.121765
35,35,BKZ,10.0,0.015723705291748047,47528625825.121765
35,35,BKZ,20.0,0.01687002182006836,47528625825.121765
55,32,LLL,0.75,0.020135164260864258,13088109348.950232
55,32,LLL,0.9,0.025374412536621094,11189632523.690382
55,32,LLL,0.99,0.026145219802856445,10104833160.7738
55,32,BKZ,2.0,0.0347905158996582,10104833160.7738
55,32,BKZ,10.0,0.14012813568115234,8950651951.021292
55,32,BKZ,20.0,0.14327526092529297,8950651951.021292
50,24,LLL,0.75,0.011933565139770508,44578041.603617325
50,24,LLL,0.9,0.011282205581665039,37196213.068324
50,24,LLL,0.99,0.01359701156616211,37196213.068324
50,24,BKZ,2.0,0.018550872802734375,37196213.068324
50,24,BKZ,10.0,0.0737159252166748,34709315.686100625
50,24,BKZ,20.0,0.06002044677734375,34709315.686100625
60,38,LLL,0.75,0.030293703079223633,900683830477.9093
60,38,LLL,0.9,0.03405404090881348,749278448777.1315
60,38,LLL,0.99,0.03960609436035156,682317800484.2623
60,38,BKZ,2.0,0.03636622428894043,682317800484.2623
60,38,BKZ,10.0,0.044324636459350586,642054732439.7257
60,38,BKZ,20.0,0.06677389144897461,642054732439.7257
50,38,LLL,0.75,0.018276691436767578,744933446211.9674
50,38,LLL,0.9,0.01628279685974121,678203412996.415
50,38,LLL,0.99,0.017841815948486328,634591762765.2847
50,38,BKZ,2.0,0.026409626007080078,634591762765.2847
50,38,BKZ,10.0,0.05435824394226074,551537672762.9117
50,38,BKZ,20.0,0.0715796947479248,551537672762.9117
55,40,LLL,0.75,0.019010066986083984,3146539288774.603
55,40,LLL,0.9,0.024200439453125,2699193697811.5933
55,40,LLL,0.99,0.02267742156982422,2585664776324.3276
55,40,BKZ,2.0,0.034284353256225586,2585664776324.3276
55,40,BKZ,10.0,0.08406734466552734,2585664776324.3276
55,40,BKZ,20.0,0.08210468292236328,2585664776324.3276
30,28,LLL,0.75,0.00490880012512207,527461426.24565595
30,28,LLL,0.9,0.007236957550048828,478559482.74656284
30,28,LLL,0.99,0.0062448978424072266,438262232.1871092
30,28,BKZ,2.0,0.006971836090087891,438262232.1871092
30,28,BKZ,10.0,0.014281511306762695,425204437.1667049
30,28,BKZ,20.0,0.024919509887695312,421020766.25756735
35,29,LLL,0.75,0.006487369537353516,1062232233.1611046
35,29,LLL,0.9,0.006480693817138672,1062232233.1611046
35,29,LLL,0.99,0.007452487945556641,940816856.7278987
35,29,BKZ,2.0,0.012558221817016602,940816856.7278987
35,29,BKZ,10.0,0.02480030059814453,918236033.3550346
35,29,BKZ,20.0,0.020546674728393555,918236033.3550346
35,36,LLL,0.75,0.006587982177734375,140222601579.36404
35,36,LLL,0.9,0.007321357727050781,121457506413.16115
35,36,LLL,0.99,0.00858926773071289,120637551248.54001
35,36,BKZ,2.0,0.011638641357421875,120637551248.54001
35,36,BKZ,10.0,0.029924392700195312,120637551248.54001
35,36,BKZ,20.0,0.042881011962890625,113232313680.12646
60,34,LLL,0.75,0.027268409729003906,54052654102.766106
60,34,LLL,0.9,0.030393123626708984,54052654102.766106
60,34,LLL,0.99,0.035813093185424805,45680334231.98212
60,34,BKZ,2.0,0.045406341552734375,45680334231.98212
60,34,BKZ,10.0,0.11718106269836426,41234397973.092094
60,34,BKZ,20.0,0.14826202392578125,41234397973.092094
50,24,LLL,0.75,0.011406898498535156,40770705.06987301
50,24,LLL,0.9,0.01192617416381836,40770705.06987301
50,24,LLL,0.99,0.011571645736694336,37322997.8249396
50,24,BKZ,2.0,0.01976776123046875,37322997.8249396
50,24,BKZ,10.0,0.060974836349487305,37079944.082891196
50,24,BKZ,20.0,0.06442737579345703,37079944.082891196
45,27,LLL,0.75,0.012585639953613281,352364175.4039045
45,27,LLL,0.9,0.014206647872924805,261494631.0453194
45,27,LLL,0.99,0.01478719711303711,258830056.10483402
45,27,BKZ,2.0,0.02012014389038086,258830056.10483402
45,27,BKZ,10.0,0.041371822357177734,258830056.10483402
45,27,BKZ,20.0,0.05717897415161133,258830056.10483402
55,31,LLL,0.75,0.030048131942749023,6365766195.080389
55,31,LLL,0.9,0.03585982322692871,5107788813.083425
55,31,LLL,0.99,0.038516998291015625,5107788813.083425
55,31,BKZ,2.0,0.05172300338745117,5107788813.083425
55,31,BKZ,10.0,0.13155698776245117,4896204493.08872
55,31,BKZ,20.0,0.10553836822509766,4866350032.55252
50,39,LLL,0.75,0.01632857322692871,1616445738016.4268
50,39,LLL,0.9,0.016820430755615234,1209255962645.8708
50,39,LLL,0.99,0.01705145835876465,1209255962645.8708
50,39,BKZ,2.0,0.023642539978027344,1209255962645.8708
50,39,BKZ,10.0,0.040953874588012695,1153313930985.4592
50,39,BKZ,20.0,0.039441585540771484,1153313930985.4592
45,32,LLL,0.75,0.011688232421875,10163475119.821125
45,32,LLL,0.9,0.012939691543579102,10163475119.821125
45,32,LLL,0.99,0.012896060943603516,8920076930.597754
45,32,BKZ,2.0,0.01945018768310547,8920076930.597754
45,32,BKZ,10.0,0.08651852607727051,8629603446.58127
45,32,BKZ,20.0,0.062093257904052734,8629603446.58127
55,34,LLL,0.75,0.011258363723754883,45922813169.091995
55,34,LLL,0.9,0.013777494430541992,45922813169.091995
55,34,LLL,0.99,0.012888193130493164,45922813169.091995
